0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 900 200 32 16 4.39 2.56 2.56
1 1 900 200 32 64 6.31 4.51 4.51
1 1 900 200 32 128 10.33 8.47 8.47
1 1 900 200 32 256 20.34 18.5 18.5
1 1 900 200 32 512 48.71 46.89 46.89
1 1 900 200 64 1 6.27 4.44 4.44
1 1 900 200 64 16 4.46 2.67 2.67
1 1 900 200 64 64 10.47 8.64 8.64
1 1 900 200 64 128 18.37 16.58 16.58
1 1 900 200 64 256 38.39 36.61 36.61
1 1 900 200 64 512 95.23 93.41 93.41
1 1 900 200 128 1 6.72 4.79 4.79
1 1 900 200 128 16 6.78 4.95 4.95
1 1 900 200 128 64 18.7 16.91 16.91
1 1 900 200 128 128 34.62 32.79 32.79
1 1 900 200 128 256 74.71 72.88 72.88
1 1 900 200 128 512 188.24 186.42 186.42
1 1 800 200 1 1 7.91 6.01 6.01
1 1 800 200 1 16 4.15 2.2 2.2
1 1 800 200 1 64 3.9 2.07 2.07
1 1 800 200 1 128 3.99 2.17 2.17
1 1 800 200 1 256 4.41 2.57 2.57
1 1 800 200 1 512 4.96 3.07 3.07
1 1 800 200 4 1 6.18 4.41 4.41
1 1 800 200 4 16 3.91 2.13 2.13
1 1 800 200 4 64 4.13 2.41 2.41
1 1 800 200 4 128 4.14 2.39 2.39
1 1 800 200 4 256 4.47 2.65 2.65
1 1 800 200 4 512 8.03 6.2 6.2
1 1 800 200 16 1 5.66 3.85 3.85
1 1 800 200 16 16 4.35 2.5 2.5
1 1 800 200 16 64 4.23 2.46 2.46
1 1 800 200 16 128 6.19 4.44 4.44
1 1 800 200 16 256 11.31 9.42 9.42
1 1 800 200 16 512 25.45 23.65 23.65
1 1 800 200 32 1 5.63 3.79 3.79
1 1 800 200 32 16 4.35 2.56 2.56
1 1 800 200 32 64 6.36 4.51 4.51
1 1 800 200 32 128 10.37 8.47 8.47
1 1 800 200 32 256 20.36 18.48 18.48
1 1 800 200 32 512 48.67 46.89 46.89
1 1 800 200 64 1 5.75 3.91 3.91
1 1 800 200 64 16 4.5 2.66 2.66
1 1 800 200 64 64 10.43 8.64 8.64
1 1 800 200 64 128 18.46 16.6 16.6
1 1 800 200 64 256 38.48 36.58 36.58
1 1 800 200 64 512 95.13 93.39 93.39
1 1 800 200 128 1 6.23 4.28 4.28
1 1 800 200 128 16 6.76 4.94 4.94
1 1 800 200 128 64 18.79 16.91 16.91
1 1 800 200 128 128 34.65 32.82 32.82
1 1 800 200 128 256 74.65 72.72 72.72
1 1 800 200 128 512 188.19 186.43 186.43
1 1 700 200 1 1 7.12 5.32 5.32
1 1 700 200 1 16 3.85 1.98 1.98
1 1 700 200 1 64 3.74 1.81 1.81
1 1 700 200 1 128 3.71 1.91 1.91
1 1 700 200 1 256 3.95 2.08 2.08
1 1 700 200 1 512 4.75 2.95 2.95
1 1 700 200 4 1 5.67 3.9 3.9
1 1 700 200 4 16 3.64 1.85 1.85
1 1 700 200 4 64 3.63 1.91 1.91
