0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 4096 100 4 512 15.39 13.66 13.66 0
1 1 4096 100 16 1 16.65 14.94 14.94 0
1 1 4096 100 16 16 11.12 9.36 9.36 0
1 1 4096 100 16 64 10.94 9.14 9.14 0
1 1 4096 100 16 128 10.8 9.13 9.13 0
1 1 4096 100 16 256 12.08 10.38 10.38 0
1 1 4096 100 16 512 28.46 26.82 26.82 0
1 1 4096 100 32 1 16.51 14.74 14.74 0
1 1 4096 100 32 16 11.1 9.35 9.35 0
1 1 4096 100 32 64 10.88 9.14 9.14 0
1 1 4096 100 32 128 10.93 9.18 9.18 0
1 1 4096 100 32 256 22 20.41 20.41 0
1 1 4096 100 32 512 55.17 53.39 53.39 0
1 1 4096 100 64 1 16.41 14.66 14.66 0
1 1 4096 100 64 16 11 9.44 9.44 0
1 1 4096 100 64 64 11 9.26 9.26 0
1 1 4096 100 64 128 19.8 17.98 17.98 0
1 1 4096 100 64 256 42.06 40.36 40.36 0
1 1 4096 100 64 512 108.13 106.3 106.3 0
1 1 4096 100 128 1 16.45 14.68 14.68 0
1 1 4096 100 128 16 11.19 9.5 9.5 0
1 1 4096 100 128 64 19.71 18.13 18.13 0
1 1 4096 100 128 128 37.21 35.54 35.54 0
1 1 4096 100 128 256 82.15 80.45 80.45 0
1 1 4 1000 1 1 2.65 0.84 0.84 0
1 1 4 1000 1 16 2.79 0.97 0.97 0
1 1 4 1000 1 64 3.78 1.96 1.96 0
1 1 4 1000 1 128 5.13 3.32 3.32 0
1 1 4 1000 1 256 7.67 5.97 5.97 0
1 1 4 1000 1 512 13.12 11.32 11.32 0
1 1 4 1000 4 1 2.65 0.85 0.85 0
1 1 4 1000 4 16 3.82 2.04 2.04 0
1 1 4 1000 4 64 7.86 6.07 6.07 0
1 1 4 1000 4 128 13.24 11.41 11.41 0
1 1 4 1000 4 256 23.92 22.13 22.13 0
1 1 4 1000 4 512 45.34 43.55 43.55 0
1 1 4 1000 16 1 3.21 1.39 1.39 0
1 1 4 1000 16 16 8.3 6.39 6.39 0
1 1 4 1000 16 64 24.38 22.5 22.5 0
1 1 4 1000 16 128 45.7 43.94 43.94 0
1 1 4 1000 16 256 88.51 86.75 86.75 0
1 1 4 1000 16 512 173.87 172.49 172.49 0
1 1 4 1000 32 1 3.77 2.12 2.12 0
1 1 4 1000 32 16 13.71 12.15 12.15 0
1 1 4 1000 32 64 46.07 44.37 44.37 0
1 1 4 1000 32 128 88.82 87.22 87.22 0
1 1 4 1000 32 256 174.5 172.97 172.97 0
1 1 4 1000 32 512 346.07 344.41 344.41 0
1 1 4 1000 64 1 5.41 3.73 3.73 0
1 1 4 1000 64 16 25.29 23.83 23.83 0
1 1 4 1000 64 64 90 88.19 88.19 0
1 1 4 1000 64 128 175.64 173.93 173.93 0
1 1 4 1000 64 256 347.3 345.44 345.44 0
1 1 4 1000 64 512 690.3 688.46 688.46 0
1 1 4 1000 128 1 8.69 6.92 6.92 0
1 1 4 1000 128 16 48.94 47.13 47.13 0
1 1 4 1000 128 64 177.53 175.75 175.75 0
1 1 4 1000 128 128 349.08 347.24 347.24 0
1 1 4 1000 128 256 692.02 690.19 690.19 0
1 1 4 1000 128 512 1377.75 1376 1376 0
1 1 128 1000 1 1 9.36 7.6 7.6 0
1 1 128 1000 1 16 5.32 3.59 3.59 0
1 1 128 1000 1 64 5.17 3.45 3.45 0
1 1 128 1000 1 128 5.23 3.39 3.39 0
1 1 128 1000 1 256 7.85 6.11 6.11 0
1 1 128 1000 1 512 13.25 11.49 11.49 0
1 1 128 1000 4 1 7.43 5.67 5.67 0
1 1 128 1000 4 16 5.25 3.47 3.47 0
1 1 128 1000 4 64 7.99 6.16 6.16 0
1 1 128 1000 4 128 13.37 11.61 11.61 0
1 1 128 1000 4 256 24.21 22.42 22.42 0
1 1 128 1000 4 512 45.73 44.03 44.03 0
1 1 128 1000 16 1 7.09 5.38 5.38 0
1 1 128 1000 16 16 8.2 6.42 6.42 0
1 1 128 1000 16 64 24.48 22.76 22.76 0
1 1 128 1000 16 128 46.35 44.54 44.54 0
1 1 128 1000 16 256 89.57 87.79 87.79 0
1 1 128 1000 16 512 175.97 174.18 174.18 0
1 1 128 1000 32 1 7.33 5.55 5.55 0
1 1 128 1000 32 16 14.05 12.27 12.27 0
1 1 128 1000 32 64 46.69 44.94 44.94 0
1 1 128 1000 32 128 90.28 88.5 88.5 0
1 1 128 1000 32 256 176.74 174.92 174.92 0
1 1 128 1000 32 512 349.55 347.78 347.78 0
1 1 128 1000 64 1 7.78 5.98 5.98 0
1 1 128 1000 64 16 25.78 23.95 23.95 0
1 1 128 1000 64 64 91.06 89.25 89.25 0
1 1 128 1000 64 128 178.04 176.34 176.34 0
1 1 128 1000 64 256 350.96 349.19 349.19 0
1 1 128 1000 64 512 696.56 694.8 694.8 0
1 1 128 1000 128 1 8.82 6.96 6.96 0
1 1 128 1000 128 16 49.09 47.35 47.35 0
1 1 128 1000 128 64 179.66 177.93 177.93 0
1 1 128 1000 128 128 353.82 352.05 352.05 0
1 1 128 1000 128 256 699.4 697.67 697.67 0
1 1 128 1000 128 512 1391.09 1389.35 1389.35 0
1 1 256 1000 1 1 16.4 14.59 14.59 0
1 1 256 1000 1 16 8.35 6.59 6.59 0
1 1 256 1000 1 64 8.05 6.23 6.23 0
1 1 256 1000 1 128 7.93 6.18 6.18 0
1 1 256 1000 1 256 8.82 7.03 7.03 0
1 1 256 1000 1 512 15.04 13.29 13.29 0
1 1 256 1000 4 1 12.52 10.71 10.71 0
1 1 256 1000 4 16 8.14 6.33 6.33 0
1 1 256 1000 4 64 7.95 6.15 6.15 0
1 1 256 1000 4 128 13.4 11.64 11.64 0
1 1 256 1000 4 256 27.49 25.68 25.68 0
1 1 256 1000 4 512 52.63 50.84 50.84 0
1 1 256 1000 16 1 11.72 9.93 9.93 0
1 1 256 1000 16 16 8.23 6.44 6.44 0
1 1 256 1000 16 64 24.56 22.8 22.8 0
1 1 256 1000 16 128 46.31 44.54 44.54 0
1 1 256 1000 16 256 102.36 100.61 100.61 0
1 1 256 1000 16 512 202.76 200.99 200.99 0
1 1 256 1000 32 1 11.86 10.03 10.03 0
